City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,mawlaik,23.6333,94.4167,24.22,99,100,0.2,MM,1696026266
119,geraldton,-28.7667,114.6,9.23,93,0,3.6,AU,1696025527
120,juiz de fora,-21.7642,-43.3503,16.39,88,68,1.72,BR,1696026266
121,jiuquan,39.7432,98.5174,8.77,32,1,1.38,CN,1696026266
122,puerto cortez,15.8333,-87.95,33.19,75,88,2.33,HN,1696026267
123,port mathurin,-19.6833,63.4167,22.77,65,62,7.89,MU,1696025828
124,estacion santa engracia,24.0159,-99.2015,35.06,30,0,1.79,MX,1696026267
125,walvis bay,-22.9575,14.5053,12.27,86,1,2.67,NA,1696025832
126,zhumysker,49.3333,49.4,15.99,51,57,3.54,KZ,1696026268
127,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1696025796
128,buala,-8.145,159.5921,27.82,81,88,4.24,SB,1696026268
129,acarau,-2.8856,-40.12,25.66,79,100,7.97,BR,1696026268
130,las tablas,7.7667,-80.2833,29.77,71,61,1.57,PA,1696026268
131,papatowai,-46.5619,169.4708,6.95,61,97,9.5,NZ,1696025773
132,concepcion del oro,24.6333,-101.4167,24.85,19,0,2.32,MX,1696026269
133,northam,51.0333,-4.2167,13.7,93,100,2.74,GB,1696025997
134,puerto san jose,13.9256,-90.8244,30.22,70,45,2.45,GT,1696026269
135,peniche,39.3558,-9.3811,21.71,87,3,6.39,PT,1696026269
136,sayansk,54.1088,102.1648,6.08,79,100,0.9,RU,1696026270
137,nar'yan-mar,67.6713,53.087,2.17,77,99,7.23,RU,1696025750
138,klyuchi,52.2667,79.1667,10.23,71,59,1.3,RU,1696025792
139,atafu village,-8.5421,-172.5159,28.65,71,22,4.23,TK,1696025756
140,baotou,40.6522,109.8222,9.29,36,0,1.45,CN,1696026270
141,talnakh,69.4865,88.3972,-3.77,85,100,5.61,RU,1696025758
142,barra do bugres,-15.0725,-57.1811,31.63,46,94,1.51,BR,1696026271
143,turbat,26.0023,63.044,29.59,11,0,10.45,PK,1696026271
144,yanam,16.7333,82.2167,25.32,95,98,2.14,IN,1696026271
145,dudinka,69.4058,86.1778,-3.54,94,94,8.83,RU,1696025810
146,belidzhi,41.8918,48.4125,17.96,75,100,1.2,RU,1696026272
147,gamay,12.3854,125.2979,25.54,94,100,2.88,PH,1696026272
148,nuevitas,21.5453,-77.2644,28.42,79,36,4.44,CU,1696026272
149,vorgashor,67.5833,63.95,-0.19,78,97,1.83,RU,1696025819
150,sandnessjoen,66.0217,12.6316,11.06,93,75,1.03,NO,1696026248
151,coral springs,26.2712,-80.2706,29.43,80,0,3.09,US,1696026011
152,bairnsdale,-37.8333,147.6167,20.2,32,5,2.82,AU,1696026273
153,castillos,-34.1667,-53.8333,13.62,93,96,1.8,UY,1696026273
154,gizo,-8.103,156.8419,27.36,79,93,2.61,SB,1696025858
155,sosnovka,56.255,51.2842,7.69,96,97,1.99,RU,1696026273
156,bardai,11.65,7.2333,21.91,89,45,3.65,NG,1696025752
